year,rain,gdf,rd,wd,county
1974,130.38,19.49,22.33,18,Kerry
1975,99.83,19.28,18.5,14.5,Kerry
1976,99.81,18.6,20,16.5,Kerry
1977,95.32,17.19,17.56,14.56,Kerry
1978,107.94,18.38,21.25,17.88,Kerry
1979,143.06,21.24,22.3,18.5,Kerry
1980,128.78,29.4,22.08,17,Kerry
1981,117.86,17.07,21.08,17.75,Kerry
1982,141.3,22.92,21.33,18.25,Kerry
1983,120.1,22.08,17.92,16.08,Kerry
1984,110.53,20.43,17.44,13.56,Kerry
1985,119.99,25.31,20.5,15.9,Kerry
1986,127.51,21.91,21.73,16.73,Kerry
1987,92.74,20.56,21.12,14.38,Kerry
1988,122.34,23.69,19.67,15.33,Kerry
1989,122.37,21.07,20.25,17.42,Kerry
1990,126.12,18.95,20.92,17.5,Kerry
1991,111.46,20.23,21.5,16,Kerry
1992,120.01,20.46,22.2,17.7,Kerry
1993,111.35,20.18,21.73,16.55,Kerry
1994,125.24,20.55,22.33,17.75,Kerry
1995,117.99,22.68,19.33,15.58,Kerry
1996,97.37,18.69,18.18,14.91,Kerry
1997,113.58,22.89,18.92,15.25,Kerry
1998,139.7,23.68,24.45,18.55,Kerry
1999,136.36,22.58,22,18.4,Kerry
2000,141.38,24.91,22.67,19.67,Kerry
2001,89.25,20.08,20,14.64,Kerry
2002,129.17,21.59,21.58,17.67,Kerry
2003,94.09,18.61,19,14.08,Kerry
2004,117.91,26.67,21.25,15.25,Kerry
2005,115.27,25.14,21.42,15.58,Kerry
2006,119,20.89,20.42,16.33,Kerry
2007,120.08,23.77,21.5,16.58,Kerry
2008,155.45,29.21,23.33,17.75,Kerry
2009,144.97,21.91,23.75,17.67,Kerry
2010,94.42,17.14,20.73,14.09,Kerry
2011,130.03,21.44,22.5,18.83,Kerry
2012,136.66,20.78,23.25,18.58,Kerry
2013,117.22,21.68,20.58,14.92,Kerry
2014,123.75,24.26,23,18.18,Kerry
2015,138.02,23.81,22.33,18.5,Kerry
2016,113.94,21.71,20.5,16.17,Kerry
2017,123.57,24.95,23.42,17.83,Kerry
2018,116.27,23.18,21.33,16.25,Kerry
2019,108.27,18.38,22.33,15.17,Kerry
1941,60.33,14.5,16.75,12,Dublin
1942,52.96,11.08,15.92,11.33,Dublin
1943,54.27,12.22,18.08,10.67,Dublin
1944,57.73,13.75,18.83,11.17,Dublin
1945,43.55,13.05,15.83,9.67,Dublin
1946,67.74,16.02,17.33,12.67,Dublin
1947,72.01,17.94,15.92,12.83,Dublin
1948,62.15,15.45,17.5,12.08,Dublin
1949,42.33,14.36,14.75,9.33,Dublin
1950,54.46,14.78,17.08,12.25,Dublin
1951,61.22,15.98,15.33,11.67,Dublin
1952,55.67,15.92,12.33,10.25,Dublin
1953,36.27,9.62,12,8.67,Dublin
1954,62.75,16.55,16.25,12.25,Dublin
1955,54.52,14.78,13,10.33,Dublin
1956,65.42,18.99,15.58,11.42,Dublin
1957,56.38,16.18,15.33,10.83,Dublin
1958,77.03,18.47,17.58,12,Dublin
1959,48.68,13.63,13.33,8.75,Dublin
1960,75.53,16.98,18,11.58,Dublin
1961,43.88,15.28,14.17,8.83,Dublin
1962,45.63,12.01,15.25,9,Dublin
1963,54.07,16.09,13.7,10.5,Dublin
1964,51.62,12.5,16,9.83,Dublin
1965,73.89,21.18,18,12.25,Dublin
1966,77.67,21.21,15.5,12.25,Dublin
1967,58.03,15.34,14.92,10.75,Dublin
1968,54.9,15.57,14.27,10.18,Dublin
1969,55.85,14.68,13,9.75,Dublin
1970,53.18,13.65,13.12,9.12,Dublin
1971,45.1,18.27,10,6.5,Dublin
1972,75.93,17.87,16.67,13.33,Dublin
1973,58.83,15.07,12.2,9.2,Dublin
1974,59.7,14.01,13.78,10.67,Dublin
1975,38.34,12.79,11.6,9,Dublin
1976,52.68,12.17,12.09,9.73,Dublin
1977,50.16,15.64,13.2,10.3,Dublin
1978,62.83,15.98,11.64,10,Dublin
1979,55.65,11.97,13.7,10.7,Dublin
1980,63.5,14.99,15.27,11,Dublin
1981,64.35,16.64,15.08,11,Dublin
1982,59.5,13.06,15.75,10.92,Dublin
1983,56.69,16.74,13.08,10.92,Dublin
1984,57.46,18.63,11.64,9.64,Dublin
1985,62.94,18.78,13.33,11.17,Dublin
1986,66.43,25.62,14.17,10.17,Dublin
1987,44.82,12.68,14.44,10.44,Dublin
1988,44.99,11.36,13.88,9.5,Dublin
1989,44.87,16.98,12.17,8.83,Dublin
1990,46.67,8.21,12.33,7.67,Dublin
1991,50.06,13.69,12.44,9.33,Dublin
1992,46.1,12.47,12.75,8.62,Dublin
1993,55.84,12.28,15.12,9.75,Dublin
1994,66.99,13.92,16.27,12.09,Dublin
1995,70.58,23.04,15.62,11.5,Dublin
1996,58.56,15.99,13.92,9.83,Dublin
1997,57.33,16.8,13.33,9.75,Dublin
1998,60.36,16.21,16.2,11.4,Dublin
1999,49.65,13.53,13.36,9.91,Dublin
2000,74.61,21.39,17.57,13,Dublin
2001,47.29,12.74,14.22,9,Dublin
2002,81.2,17.89,18,13.56,Dublin
2003,45.75,16.13,11.5,7.7,Dublin
2004,51.35,14.28,12.83,9.5,Dublin
2005,48.74,14.52,13.17,9.33,Dublin
2006,52.31,12.51,13.64,9.36,Dublin
2007,54.2,12.64,14.17,10.33,Dublin
2008,71.97,17.31,14.08,10.83,Dublin
2009,61.8,18.61,13.91,10.18,Dublin
2010,56.99,16.31,11.78,8.22,Dublin
2011,49.12,17.37,13.75,8.92,Dublin
2012,70.58,21.71,16.17,11.42,Dublin
2013,59.88,15.29,13.17,9.5,Dublin
2014,75.04,18.38,15,12,Dublin
2015,58.92,14.29,15,12,Dublin
2016,52.04,14.81,13.33,9.75,Dublin
2017,47.55,14.18,12.5,9.75,Dublin
2018,49.57,12.25,13.09,9.64,Dublin
2019,41.62,11.98,13,8.33,Dublin
1948,304.55,67.55,24.5,21,Cork
1949,149.09,34.5,19.33,15.08,Cork
1950,177.6,28.2,21.14,17.57,Cork
1951,172.56,42.43,23.83,18.33,Cork
1952,129.27,29.55,17.83,14.17,Cork
1953,134.6,33.97,18.42,14.33,Cork
1954,182.27,31.72,21.42,18.67,Cork
1955,133.81,29.96,16.42,13.25,Cork
1956,152.56,31.93,18.92,15.25,Cork
1957,154.4,29.98,18.42,15.42,Cork
1958,174.6,33.87,21.83,18.42,Cork
1959,164.82,33.67,17.33,15.25,Cork
1960,202.18,37.98,21.17,17.5,Cork
1961,162.46,33.98,18.33,15.08,Cork
1962,148.6,39.13,18.67,15.33,Cork
1963,162.36,32.62,22.25,17.5,Cork
1964,168.87,38.16,20.25,16.42,Cork
1965,168.64,27.38,20.5,16.92,Cork
1966,175.38,35.62,20.25,17.67,Cork
1967,157.07,28.67,20.5,17.42,Cork
1968,155.72,30.96,20,16,Cork
1969,123.16,28.3,17.08,15,Cork
1970,162.34,30.01,18.75,16.67,Cork
1971,119.92,25.13,16.33,14.33,Cork
1972,170.91,31.69,18,16.58,Cork
1973,141.33,36.19,17.92,15.92,Cork
1974,182.02,30.55,20.25,18.17,Cork
1975,149.48,31.23,18.5,15.5,Cork
1976,146.35,29.66,17.75,15.83,Cork
1977,183.55,31.25,19.5,16.75,Cork
1978,157.18,29.57,18.45,15.82,Cork
1979,165.51,30.11,19.78,18.33,Cork
1980,180.98,35.68,20.91,17.18,Cork
1981,162.23,32.44,19.25,16.5,Cork
1982,198.27,38.93,21.33,18.17,Cork
1983,114.98,30.02,13.2,11.4,Cork
1984,142.62,28.98,16.92,13.5,Cork
1985,161.83,35.79,19.75,15.67,Cork
1986,180.12,33.77,20.09,16.91,Cork
1987,149.69,28.86,14.33,11.67,Cork
1988,182.31,39.59,0,0,Cork
1989,166.95,28,5,4,Cork
1990,157.43,25.05,0,0,Cork
1991,147.44,35.25,2,1,Cork
1992,131.4,33.5,0,0,Cork
1993,160.86,32.13,0,0,Cork
1994,197.58,27.1,0,0,Cork
1995,171.29,36.28,0,0,Cork
1996,164.67,30.3,10.5,7.5,Cork
1997,161.05,45.55,13.33,10.67,Cork
1998,168.7,32.38,21,18,Cork
1999,182.36,36.1,17.67,15.67,Cork
2000,186.75,26.3,20,17.17,Cork
2001,129.28,30.54,18,14.7,Cork
2002,195.27,35.8,26.75,24.25,Cork
2003,133.17,38.65,17.11,14.78,Cork
2004,167.55,49,17.38,14.88,Cork
2005,149.02,32.78,18.88,15.75,Cork
2006,174.48,38.8,19.5,17.1,Cork
2007,130.8,26.58,18.12,16,Cork
2008,157.65,33.2,18.86,16.29,Cork
2009,208.78,46.3,12.33,10,Cork
2010,125.92,30.2,15.67,13,Cork
2011,173.58,27.8,13.67,12.33,Cork
2012,169.36,33.33,0,0,Cork
2013,183.12,44.85,17.62,14.62,Cork
2014,202.9,26.56,22.2,18.9,Cork
2015,233.46,37.44,22.08,18.58,Cork
2016,161.59,32.51,20.17,16.58,Cork
2017,152.82,35.25,20.8,16.5,Cork
2018,163.86,33.41,19.12,14.75,Cork
2019,157.93,31.97,18.83,14.83,Cork
